	Name	Notes	FullAddress	City	Province	PostalCode	lat	long
0	Bureau en Gros; Longueuil	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	2790 ch. Chambly	Longueuil	Quebec	J4L 1M9	43.8503835	-79.3902855
1	Bureau en Gros; Dix30	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	9750 boul. Leduc bureau 35	Brossard	Quebec	J4Y 0B3	45.5207468	-73.4622983
2	Bureau en Gros; Greenfield-Park	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3344 boul. Taschereau bureau C6	Longueuil	Quebec	J4V 2H7	45.4399798	-73.4366654
3	Bureau en Gros; Saint-Hyacinthe	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	5970 rue Martineau	Saint-Hyacinthe	Quebec	J2R 2H6	45.4921754	-73.480287
4	Bureau en Gros; Saint-Bruno	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1465 boul. Saint-Bruno	Saint-Bruno-de-Montarville	Quebec	J3V 6J1	45.6399055	-72.9787383
5	Bureau en Gros; Sorel	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	450 boul. Poliquin bureau 5004	Sorel-Tracy	Quebec	J3P 7R5	45.5095124	-73.3816766
6	Bureau en Gros; Drummondville	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	565 boul. Saint-Joseph	Drummondville	Quebec	J2C 2B6	46.0232721	-73.1036966
7	Bureau en Gros; Victoriaville	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1111 boul. Jutras Est	Victoriaville	Quebec	G6S 1C1	45.8924808	-72.517057
8	Bureau en Gros; St-Georges	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	8585 boul. Lacroix	Saint-Georges	Quebec	G5Y 5L6	46.059653	-71.9267684
9	Bureau en Gros; Rimouski	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	390 Montée Industrielle	Rimouski	Quebec	G5M 1X1	46.1338968	-70.6988585
10	Bureau en Gros; Rivière-du-Loup	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	250 boul. de L'Hôtel-de-Ville	Rivière-du-Loup	Quebec	G5R 1M4	48.4564237	-68.4944344
11	Bureau en Gros; Alma	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	705 av. du Pont Nord bureau 5050	Alma	Quebec	G8B 6T5	47.8262937	-69.5521703
12	Bureau en Gros; Jonquière	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3460 boul. Saint-François	Saguenay	Quebec	G7X 8L3	48.5621728	-71.6390256
13	Bureau en Gros; Chicoutimi	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1470 boul. Talbot	Saguenay	Quebec	G7H 4C2	 None	 None
14	Écocentre Rimouski		835 ch. Victor-Gauvin	Rimouski	Quebec	G5L 8Y9	 None	 None
15	Bureau en Gros; Gatineau	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	235 montée Paiement	Gatineau	Quebec	J8P 6M7	48.4086161	-68.5719253
16	Bureau en Gros; Hull	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	35 boul. du Plateau bureau 55A	Gatineau	Quebec	J9A 3G1	45.4830663	-75.6771127
17	Écocentre Rose-Cohen		365 rue Pépin	Sherbrooke	Quebec	J1L 2Y8	45.435912	-75.7707045
18	Écocentre Michel-Ledoux		1000 rue Léon-Trépanier	Sherbrooke	Quebec	J1G 5B8	45.4009455	-71.9686352
19	Écocentre Jean-Talon (Matrec)		1700 boul. Jean Talon Ouest	Québec	Quebec	G2K 2L8	45.3937612	-71.86118
20	Écocentre La Petite-Patrie	ICI: Quantité limité à 1 mètre cube par jour	1100 rue des Carrières	Montréal	Quebec	H2S 2A8	46.8652087	-71.3030291
21	Bureau en Gros; Beauport	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	843 rue Clémanceau	Québec	Quebec	G1C 2K6	45.5343183	-73.5918529
22	Bureau en Gros; Cap-de-la-Madeleine	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	400 rue Barkoff	Trois-Rivières	Quebec	G8T 9P5	46.8679977	-71.2088795
23	Bureau en Gros; Shawinigan	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1 rue la Plaza-de-Maurice	Shawinigan	Quebec	G9N 7C1	46.3746477	-72.5558756
24	Bureau en Gros; Trois-Rivières	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4000 boul. des Récollets	Trois-Rivières	Quebec	G9A 6K9	46.5623334	-72.7405519
25	Bureau en Gros; Place Versailles	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	7275 rue Sherbrooke Est bureau 316	Montréal	Quebec	H1N 1E9	 None	 None
26	Bureau en Gros; Anjou	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	11250 rue Renaude-Lapointe	Montréal	Quebec	H1J 2V7	 None	 None
27	Bureau en Gros; Notre Dame	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	770 rue Notre-Dame Ouest	Montréal	Quebec	H3C 1J2	45.6122154	-73.5975532
28	Bureau en Gros; Jean-Talon	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4625 rue Jean-Talon Est	Montréal	Quebec	H1S 1K3	45.498992	-73.5604773
29	Bureau en Gros; TMR (Ville Mont-Royal)	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4205 rue Jean-Talon Ouest	Montréal	Quebec	H4P 2T6	45.5723514	-73.588028
30	Bureau en Gros; Châteauguay	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	160 boul. d'Anjou	Châteauguay	Quebec	J6K 1C4	45.5003888	-73.6479269
31	Bureau en Gros; Saint-Jean	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1000 boul. du Séminaire	Saint-Jean-sur-Richelieu	Quebec	J3A 1E5	45.3590851	-73.7293831
32	Bureau en Gros; Candiac	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	40 rue de Strasbourg	Candiac	Quebec	J5R 0B4	45.3362524	-73.269864
33	Bureau en Gros; Beloeil	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	100 rue Serge-Pépin	Beloeil	Quebec	J3G 0K1	45.3692892	-73.5180733
34	Bureau en Gros; Sherbrooke	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3325 boul. Portland	Sherbrooke	Quebec	J1L 2P1	45.5918224	-73.1946296
35	Bureau en Gros; Magog	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1700 rue Sherbrooke bureau 117	Magog	Quebec	J1X 5B4	45.404029	-71.9571409
36	Bureau en Gros; Granby	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	921 rue Principale	Granby	Quebec	J2G 2Z5	 None	 None
37	Bureau en Gros; Vaudreuil	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	46 boul. de la Cité des Jeunes bureau 100	Vaudreuil-Dorion	Quebec	J7V 9L5	45.4156145	-72.7542973
38	Bureau en Gros; Atwater	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4036 rue Sainte-Catherine Ouest	Westmount	Quebec	H3Z 1P2	45.4087925	-74.0374873
39	Bureau en Gros; Saint-Laurent	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3660 boul. De La Côte-Vertu	Montréal	Quebec	H4R 1P8	45.4880719	-73.5856833
