Name	Notes	FullAddress	City	Province	PostalCode
Bureau en Gros; Longueuil	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	2790 ch. Chambly	Longueuil	Quebec	J4L 1M9
Bureau en Gros; Dix30	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	9750 boul. Leduc bureau 35	Brossard	Quebec	J4Y 0B3
Bureau en Gros; Greenfield-Park	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3344 boul. Taschereau bureau C6	Longueuil	Quebec	J4V 2H7
Bureau en Gros; Saint-Hyacinthe	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	5970 rue Martineau	Saint-Hyacinthe	Quebec	J2R 2H6
Bureau en Gros; Saint-Bruno	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1465 boul. Saint-Bruno	Saint-Bruno-de-Montarville	Quebec	J3V 6J1
Bureau en Gros; Sorel	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	450 boul. Poliquin bureau 5004	Sorel-Tracy	Quebec	J3P 7R5
Bureau en Gros; Drummondville	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	565 boul. Saint-Joseph	Drummondville	Quebec	J2C 2B6
Bureau en Gros; Victoriaville	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1111 boul. Jutras Est	Victoriaville	Quebec	G6S 1C1
Bureau en Gros; St-Georges	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	8585 boul. Lacroix	Saint-Georges	Quebec	G5Y 5L6
Bureau en Gros; Rimouski	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	390 Montée Industrielle	Rimouski	Quebec	G5M 1X1
